system   D            wsystem.c:585  maybe_parent_dir                 [   0.00050] Also searching C:\Users\User1\Desktop\Lamarri\
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.91521] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.91523] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.91601] Glyph 72: 10x12 (12x12)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.91610] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.91612] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.91667] Glyph 68: 10x12 (12x12)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.91676] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.91677] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.91717] Glyph 79: 4x15 (4x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.91724] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.91731] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.91762] Glyph 87: 6x16 (8x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.91769] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.91770] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.91801] Glyph 75: 10x15 (12x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.91808] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.91809] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.91838] Glyph 29: 4x12 (4x12)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.91844] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.91845] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.91919] Glyph 54: 12x15 (12x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.91920] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.91921] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.92158] Glyph 70: 10x12 (12x12)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.92172] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.92173] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.92218] Glyph 82: 10x12 (12x12)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.92227] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.92228] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.92261] Glyph 85: 7x12 (8x12)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.92268] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.92269] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:406  cache_glyph                      [   0.92298] Glyph 3 has zero size.
font     D                ttf.c:217  alloc_glyph_region               [   0.92301] Glyph 32: 11x8 (12x8)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.92307] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.92308] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.92336] Glyph 19: 11x15 (12x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.92341] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.92342] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.92372] Glyph 53: 14x15 (16x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.92377] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.92378] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.92403] Glyph 4: 4x15 (4x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.92410] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.92411] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.92437] Glyph 56: 13x15 (16x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.92443] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.92444] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.92470] Glyph 86: 9x12 (12x12)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.92476] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.92477] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.92509] Glyph 90: 17x12 (20x12)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.92516] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.92517] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.92547] Glyph 78: 10x15 (12x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.92552] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.92553] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.92581] Glyph 92: 13x16 (16x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.92587] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.92588] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.92615] Glyph 80: 14x12 (16x12)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.92620] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.92621] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.92647] Glyph 89: 13x12 (16x12)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.92652] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.92653] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.92678] Glyph 17: 4x4 (4x4)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.92683] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.92684] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.92711] Glyph 60: 14x15 (16x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.92716] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.92717] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.92742] Glyph 88: 10x12 (12x12)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.92747] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.92748] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.92772] Glyph 81: 10x12 (12x12)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.92777] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.92778] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.92803] Glyph 83: 10x16 (12x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.92809] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.92809] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.92834] Glyph 51: 12x15 (12x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.92839] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.92840] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.92865] Glyph 74: 11x16 (12x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.92870] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.92871] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.92916] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.92917] _al_d3d_sync_bitmap (video) ref count == 2
dtor     D               dtor.c:214  _al_unregister_destructor        [   2.10034] removed dtor for object 04235EF0
d3d      W          d3d_bmp.cpp:741  d3d_destroy_bitmap               [   2.19497] d3d_destroy_bitmap: Release video texture failed.
dtor     D               dtor.c:214  _al_unregister_destructor        [   2.19515] removed dtor for object 04236230
dtor     D               dtor.c:214  _al_unregister_destructor        [   2.19518] removed dtor for object 04256C68
d3d      I         d3d_disp.cpp:920  d3d_destroy_display              [   2.19520] destroying display 00821578 (current 00000000)
bitmap   D             bitmap.c:536  _al_convert_to_memory_bitmap     [   2.19521] converting display bitmap 04257058 to memory bitmap
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   2.21066] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   2.21069] _al_d3d_sync_bitmap (video) ref count == 1
bitmap   D             bitmap.c:536  _al_convert_to_memory_bitmap     [   2.21095] converting display bitmap 04256F48 to memory bitmap
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   2.21179] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   2.21180] _al_d3d_sync_bitmap (video) ref count == 1
bitmap   D             bitmap.c:536  _al_convert_to_memory_bitmap     [   2.21425] converting display bitmap 04256E38 to memory bitmap
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   2.21500] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   2.21501] _al_d3d_sync_bitmap (video) ref count == 1
bitmap   D             bitmap.c:536  _al_convert_to_memory_bitmap     [   2.21772] converting display bitmap 04256D28 to memory bitmap
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   2.21850] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   2.21851] _al_d3d_sync_bitmap (video) ref count == 1
bitmap   D             bitmap.c:536  _al_convert_to_memory_bitmap     [   2.22191] converting display bitmap 04256B58 to memory bitmap
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   2.22209] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   2.22210] _al_d3d_sync_bitmap (video) ref count == 1
bitmap   D             bitmap.c:536  _al_convert_to_memory_bitmap     [   2.22269] converting display bitmap 0424DA08 to memory bitmap
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   2.22274] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   2.22275] _al_d3d_sync_bitmap (video) ref count == 2
d3d      W          d3d_bmp.cpp:741  d3d_destroy_bitmap               [   2.22287] d3d_destroy_bitmap: Release video texture failed.
bitmap   D             bitmap.c:536  _al_convert_to_memory_bitmap     [   2.22289] converting display bitmap 04243420 to memory bitmap
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   2.22296] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   2.22297] _al_d3d_sync_bitmap (video) ref count == 1
bitmap   D             bitmap.c:536  _al_convert_to_memory_bitmap     [   2.22310] converting display bitmap 042432B0 to memory bitmap
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   2.22390] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   2.22391] _al_d3d_sync_bitmap (video) ref count == 1
bitmap   D             bitmap.c:536  _al_convert_to_memory_bitmap     [   2.22678] converting display bitmap 04237110 to memory bitmap
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   2.22686] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   2.22687] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:904  d3d_destroy_display_internals    [   2.22712] waiting for display 00821578's thread to end
d3d      W         d3d_disp.cpp:616  d3d_destroy_device               [   2.23476] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1526 d3d_display_thread_proc          [   2.24569] d3d display thread exits
dtor     D               dtor.c:214  _al_unregister_destructor        [   2.24740] removed dtor for object 04237110
dtor     D               dtor.c:214  _al_unregister_destructor        [   2.24746] removed dtor for object 042432B0
dtor     D               dtor.c:214  _al_unregister_destructor        [   2.24774] removed dtor for object 04243420
dtor     D               dtor.c:214  _al_unregister_destructor        [   2.24781] removed dtor for object 0424DA08
dtor     D               dtor.c:214  _al_unregister_destructor        [   2.24785] removed dtor for object 04256E38
dtor     D               dtor.c:214  _al_unregister_destructor        [   2.24819] removed dtor for object 04256F48
dtor     D               dtor.c:214  _al_unregister_destructor        [   2.24859] removed dtor for object 04256D28
dtor     D               dtor.c:214  _al_unregister_destructor        [   2.24898] removed dtor for object 042360D0
dtor     D               dtor.c:214  _al_unregister_destructor        [   2.24900] removed dtor for object 04257058
